TimeStamp,Date,CountyName,Province,PopulationCensus16,ConfirmedCovidCases,NewCases,3DayAvg,7DayAvg
1585094400000,25/03/2020,Offaly,Leinster,77961,19,3,2,3
1585094400000,25/03/2020,Roscommon,Connacht,64544,7,2,1,1
1585094400000,25/03/2020,Sligo,Connacht,65535,8,0,0,1
1585094400000,25/03/2020,Tipperary,Munster,159553,34,7,5,5
1585094400000,25/03/2020,Waterford,Munster,116176,25,3,4,4
1585094400000,25/03/2020,Westmeath,Leinster,88770,39,10,6,6
1585094400000,25/03/2020,Wexford,Leinster,149722,9,1,1,1
1585094400000,25/03/2020,Wicklow,Leinster,142425,52,3,8,7
1585180800000,26/03/2020,Carlow,Leinster,56932,3,0,0,0
1585180800000,26/03/2020,Cavan,Ulster,76176,11,2,2,2
1585180800000,26/03/2020,Clare,Munster,118817,31,5,6,4
1585180800000,26/03/2020,Cork,Munster,542868,184,13,17,26
1585180800000,26/03/2020,Donegal,Ulster,159192,15,0,1,2
1585180800000,26/03/2020,Dublin,Leinster,1347359,1070,148,137,153
1585180800000,26/03/2020,Galway,Connacht,258058,63,6,8,9
1585180800000,26/03/2020,Kerry,Munster,147707,47,3,5,7
1585180800000,26/03/2020,Kildare,Leinster,222504,56,11,7,8
1585180800000,26/03/2020,Kilkenny,Leinster,99232,29,9,4,4
1585180800000,26/03/2020,Laois,Leinster,84697,11,1,1,2
1585180800000,26/03/2020,Leitrim,Connacht,32044,3,0,0,0
1585180800000,26/03/2020,Limerick,Munster,194899,46,10,9,7
1585180800000,26/03/2020,Longford,Leinster,40873,5,0,0,1
1585180800000,26/03/2020,Louth,Leinster,128884,27,3,3,4
1585180800000,26/03/2020,Mayo,Connacht,130507,21,3,4,3
1585180800000,26/03/2020,Meath,Leinster,195044,41,8,6,6
1585180800000,26/03/2020,Monaghan,Ulster,61386,8,3,2,1
1585180800000,26/03/2020,Offaly,Leinster,77961,22,3,3,3
1585180800000,26/03/2020,Roscommon,Connacht,64544,8,1,2,1
1585180800000,26/03/2020,Sligo,Connacht,65535,10,2,1,1
1585180800000,26/03/2020,Tipperary,Munster,159553,44,10,8,6
1585180800000,26/03/2020,Waterford,Munster,116176,29,4,5,4
1585180800000,26/03/2020,Westmeath,Leinster,88770,52,13,9,7
1585180800000,26/03/2020,Wexford,Leinster,149722,10,1,1,1
1585180800000,26/03/2020,Wicklow,Leinster,142425,58,6,6,8
1585267200000,27/03/2020,Carlow,Leinster,56932,3,0,0,0
1585267200000,27/03/2020,Cavan,Ulster,76176,19,8,4,3
1585267200000,27/03/2020,Clare,Munster,118817,34,3,3,5
1585267200000,27/03/2020,Cork,Munster,542868,208,24,18,30
1585267200000,27/03/2020,Donegal,Ulster,159192,24,9,4,3
1585267200000,27/03/2020,Dublin,Leinster,1347359,1233,163,153,176
1585267200000,27/03/2020,Galway,Connacht,258058,68,5,8,10
1585267200000,27/03/2020,Kerry,Munster,147707,53,6,5,8
1585267200000,27/03/2020,Kildare,Leinster,222504,61,5,7,9
1585267200000,27/03/2020,Kilkenny,Leinster,99232,33,4,5,5
1585267200000,27/03/2020,Laois,Leinster,84697,14,3,2,2
1585267200000,27/03/2020,Leitrim,Connacht,32044,3,0,0,0
1585267200000,27/03/2020,Limerick,Munster,194899,55,9,10,8
1585267200000,27/03/2020,Longford,Leinster,40873,10,5,2,1
1585267200000,27/03/2020,Louth,Leinster,128884,34,7,5,5
1585267200000,27/03/2020,Mayo,Connacht,130507,26,5,4,4
1585267200000,27/03/2020,Meath,Leinster,195044,46,5,6,7
1585267200000,27/03/2020,Monaghan,Ulster,61386,11,3,3,2
1585267200000,27/03/2020,Offaly,Leinster,77961,29,7,4,4
1585267200000,27/03/2020,Roscommon,Connacht,64544,10,2,2,1
1585267200000,27/03/2020,Sligo,Connacht,65535,12,2,1,2
1585267200000,27/03/2020,Tipperary,Munster,159553,53,9,9,8
1585267200000,27/03/2020,Waterford,Munster,116176,31,2,3,4
1585267200000,27/03/2020,Westmeath,Leinster,88770,67,15,13,10
1585267200000,27/03/2020,Wexford,Leinster,149722,12,2,1,2
1585267200000,27/03/2020,Wicklow,Leinster,142425,65,7,5,9
1585353600000,28/03/2020,Carlow,Leinster,56932,3,0,0,0
1585353600000,28/03/2020,Cavan,Ulster,76176,24,5,5,3
1585353600000,28/03/2020,Clare,Munster,118817,34,0,3,4
1585353600000,28/03/2020,Cork,Munster,542868,217,9,15,16
1585353600000,28/03/2020,Donegal,Ulster,159192,36,12,7,4
1585353600000,28/03/2020,Dublin,Leinster,1347359,1393,160,157,132
1585353600000,28/03/2020,Galway,Connacht,258058,77,9,7,6
1585353600000,28/03/2020,Kerry,Munster,147707,60,7,5,7
1585353600000,28/03/2020,Kildare,Leinster,222504,64,3,6,6
1585353600000,28/03/2020,Kilkenny,Leinster,99232,36,3,5,3
1585353600000,28/03/2020,Laois,Leinster,84697,14,0,1,1
1585353600000,28/03/2020,Leitrim,Connacht,32044,6,3,1,0
1585353600000,28/03/2020,Limerick,Munster,194899,64,9,9,7
1585353600000,28/03/2020,Longford,Leinster,40873,10,0,2,1
1585353600000,28/03/2020,Louth,Leinster,128884,39,5,5,4
1585353600000,28/03/2020,Mayo,Connacht,130507,28,2,3,3
1585353600000,28/03/2020,Meath,Leinster,195044,47,1,5,5
1585353600000,28/03/2020,Monaghan,Ulster,61386,12,1,2,1
1585353600000,28/03/2020,Offaly,Leinster,77961,34,5,5,3
1585353600000,28/03/2020,Roscommon,Connacht,64544,10,0,1,1
1585353600000,28/03/2020,Sligo,Connacht,65535,19,7,4,2
1585353600000,28/03/2020,Tipperary,Munster,159553,62,9,9,6
1585353600000,28/03/2020,Waterford,Munster,116176,34,3,3,4
1585353600000,28/03/2020,Westmeath,Leinster,88770,70,3,10,7
1585353600000,28/03/2020,Wexford,Leinster,149722,12,0,1,1
1585353600000,28/03/2020,Wicklow,Leinster,142425,69,4,6,7
1585440000000,29/03/2020,Carlow,Leinster,56932,3,0,0,0
1585440000000,29/03/2020,Cavan,Ulster,76176,31,7,7,4
1585440000000,29/03/2020,Clare,Munster,118817,40,6,3,4
1585440000000,29/03/2020,Cork,Munster,542868,238,21,18,16
1585440000000,29/03/2020,Donegal,Ulster,159192,46,10,10,5
1585440000000,29/03/2020,Dublin,Leinster,1347359,1487,94,139,136
1585440000000,29/03/2020,Galway,Connacht,258058,86,9,8,7
1585440000000,29/03/2020,Kerry,Munster,147707,66,6,6,7
1585440000000,29/03/2020,Kildare,Leinster,222504,66,2,3,6
1585440000000,29/03/2020,Kilkenny,Leinster,99232,36,0,2,3
1585440000000,29/03/2020,Laois,Leinster,84697,15,1,1,1
1585440000000,29/03/2020,Leitrim,Connacht,32044,6,0,1,0
1585440000000,29/03/2020,Limerick,Munster,194899,67,3,7,7
1585440000000,29/03/2020,Longford,Leinster,40873,10,0,2,1
1585440000000,29/03/2020,Louth,Leinster,128884,44,5,6,4
1585440000000,29/03/2020,Mayo,Connacht,130507,36,8,5,4
1585440000000,29/03/2020,Meath,Leinster,195044,54,7,4,5
1585440000000,29/03/2020,Monaghan,Ulster,61386,13,1,2,1
1585440000000,29/03/2020,Offaly,Leinster,77961,34,0,4,3
1585440000000,29/03/2020,Roscommon,Connacht,64544,10,0,1,1
